rep_id,year,month,month_name,nb_conversations,avg_overall_score,success_rate,pct_excellent,pct_poor,avg_duration
REP009,2025,12,December,3,6.533,0.333,0.333,0.333,7.357
REP009,2026,1,January,6,7.267,0.5,0.5,0.167,5.433
REP009,2026,2,February,1,8.8,1.0,1.0,0.0,8.35
REP010,2025,9,September,4,5.8,0.25,0.25,0.5,5.368
REP010,2025,10,October,1,7.1,0.0,0.0,0.0,3.08
REP010,2025,12,December,3,7.567,0.333,0.333,0.0,7.603
REP010,2026,1,January,5,6.54,0.2,0.2,0.2,6.51
REP011,2025,8,August,1,9.5,1.0,1.0,0.0,6.22
REP011,2025,9,September,2,5.25,0.0,0.0,0.5,7.425
REP011,2025,10,October,3,8.967,1.0,1.0,0.0,5.057
REP011,2025,11,November,1,7.1,0.0,0.0,0.0,9.37
REP011,2025,12,December,3,7.8,0.333,0.333,0.0,4.967
REP011,2026,1,January,3,7.733,0.333,0.333,0.0,6.347
REP011,2026,2,February,2,5.6,0.0,0.0,0.5,4.01
REP012,2025,9,September,2,6.95,0.0,0.0,0.0,4.825
REP012,2025,10,October,2,9.25,1.0,1.0,0.0,5.25
REP012,2025,11,November,4,6.55,0.25,0.25,0.25,7.102
REP012,2025,12,December,1,4.6,0.0,0.0,1.0,3.87
REP012,2026,1,January,3,5.767,0.0,0.0,0.333,6.54
REP013,2025,8,August,2,5.55,0.0,0.0,0.5,7.195
REP013,2025,9,September,5,7.48,0.6,0.6,0.2,7.06
REP013,2025,10,October,6,6.733,0.333,0.333,0.333,7.56
REP013,2025,11,November,1,9.1,1.0,1.0,0.0,5.1
REP013,2025,12,December,4,5.925,0.25,0.25,0.5,5.712
REP013,2026,1,January,6,6.567,0.167,0.167,0.333,5.867
REP013,2026,2,February,1,7.0,0.0,0.0,0.0,6.28
REP014,2025,8,August,2,6.3,0.0,0.0,0.0,7.735
REP014,2025,10,October,3,7.533,0.333,0.333,0.0,5.153
REP014,2025,11,November,2,6.45,0.0,0.0,0.0,8.425
REP014,2025,12,December,1,7.5,0.0,0.0,0.0,6.62
REP014,2026,1,January,3,7.1,0.0,0.0,0.0,6.46
REP014,2026,2,February,1,6.6,0.0,0.0,0.0,7.73
REP015,2025,9,September,3,7.267,0.333,0.333,0.0,4.59
REP015,2025,10,October,2,9.05,1.0,1.0,0.0,5.125
REP015,2025,11,November,3,7.233,0.667,0.667,0.333,8.42
REP015,2025,12,December,5,8.46,0.8,0.8,0.0,5.532
REP015,2026,1,January,4,7.175,0.25,0.25,0.0,4.217
REP015,2026,2,February,1,6.3,0.0,0.0,0.0,9.38
REP016,2025,9,September,7,5.229,0.0,0.0,0.571,6.694
REP016,2025,10,October,4,7.075,0.5,0.5,0.25,5.105
REP016,2025,11,November,1,4.4,0.0,0.0,1.0,6.72
REP016,2025,12,December,1,9.1,1.0,1.0,0.0,6.27
REP016,2026,1,January,1,6.0,0.0,0.0,0.0,3.97
REP017,2025,8,August,3,6.467,0.0,0.0,0.0,4.83
REP017,2025,9,September,2,6.8,0.5,0.5,0.5,3.885
REP017,2025,10,October,2,6.3,0.5,0.5,0.5,7.215
REP017,2025,11,November,2,7.85,0.5,0.5,0.0,5.09
REP017,2025,12,December,5,6.38,0.2,0.2,0.4,7.98
REP017,2026,1,January,4,7.175,0.5,0.5,0.25,6.6
REP017,2026,2,February,2,6.65,0.5,0.5,0.5,5.16
REP018,2025,9,September,4,6.65,0.0,0.0,0.0,6.875
REP018,2025,10,October,1,3.7,0.0,0.0,1.0,4.93
REP018,2025,11,November,2,5.9,0.0,0.0,0.5,3.2
REP018,2025,12,December,1,6.6,0.0,0.0,0.0,6.88
REP018,2026,1,January,3,7.733,0.667,0.667,0.333,6.8
REP019,2025,8,August,2,7.7,0.5,0.5,0.0,5.425
REP019,2025,11,November,2,6.4,0.0,0.0,0.0,8.59
REP019,2026,1,January,4,8.225,0.5,0.5,0.0,5.322
REP019,2026,2,February,2,8.9,1.0,1.0,0.0,2.95
REP020,2025,9,September,1,6.7,0.0,0.0,0.0,3.92
REP020,2025,10,October,2,5.15,0.0,0.0,0.5,5.73
REP020,2025,11,November,1,7.1,0.0,0.0,0.0,7.05
REP020,2025,12,December,3,8.367,0.667,0.667,0.0,6.37
REP020,2026,1,January,1,8.7,1.0,1.0,0.0,8.5
REP020,2026,2,February,1,4.1,0.0,0.0,1.0,6.23
REP021,2025,8,August,1,4.3,0.0,0.0,1.0,8.85
REP021,2025,9,September,1,7.1,0.0,0.0,0.0,4.13
REP021,2025,10,October,1,6.7,0.0,0.0,0.0,9.43
REP021,2025,11,November,5,7.8,0.4,0.4,0.0,5.542
REP021,2025,12,December,2,6.65,0.0,0.0,0.0,5.32
REP021,2026,1,January,4,5.8,0.0,0.0,0.25,6.77
REP022,2025,8,August,1,6.5,0.0,0.0,0.0,6.6
REP022,2025,9,September,7,6.214,0.143,0.143,0.429,5.803
REP022,2025,10,October,1,4.0,0.0,0.0,1.0,3.13
REP022,2025,11,November,3,5.7,0.0,0.0,0.333,6.493
REP022,2025,12,December,4,7.875,0.5,0.5,0.0,6.915
REP022,2026,1,January,1,8.4,1.0,1.0,0.0,3.18
REP022,2026,2,February,1,6.7,0.0,0.0,0.0,7.58
REP023,2025,8,August,1,4.5,0.0,0.0,1.0,7.55
REP023,2025,9,September,2,9.2,1.0,1.0,0.0,3.825
REP023,2025,10,October,2,6.25,0.5,0.5,0.5,3.125
REP023,2025,11,November,5,6.72,0.4,0.4,0.2,5.33
REP023,2025,12,December,1,8.7,1.0,1.0,0.0,5.65
REP023,2026,1,January,5,7.62,0.6,0.6,0.2,6.976
REP024,2025,9,September,1,9.4,1.0,1.0,0.0,6.08
REP024,2025,10,October,3,6.633,0.0,0.0,0.0,3.71
REP024,2025,11,November,5,7.5,0.4,0.4,0.0,8.564
REP024,2025,12,December,5,7.42,0.4,0.4,0.2,6.94
REP024,2026,1,January,4,6.05,0.0,0.0,0.25,5.928
REP024,2026,2,February,1,9.0,1.0,1.0,0.0,8.45
REP025,2025,8,August,1,6.9,0.0,0.0,0.0,8.43
REP025,2025,9,September,4,5.975,0.0,0.0,0.5,5.175
REP025,2025,10,October,7,7.2,0.286,0.286,0.0,5.914
REP025,2025,11,November,1,7.4,0.0,0.0,0.0,6.28
REP025,2025,12,December,1,9.1,1.0,1.0,0.0,9.73
REP025,2026,1,January,4,7.325,0.5,0.5,0.25,6.232
