name,forme,classe,primary_category,category_count,is_supplement,is_cosmetic,is_medical,is_care_product,is_topical,is_oral,indication_count,is_complete,avatar_priority_score
Pédiakids Gel Lavant Doux,Gel,Autre,Peau,1,0,0,0,0,1,0,3,0,4.75
LV Arthroforce huile,Huile,Complément alimentaire,Arthrite,3,1,0,0,0,1,0,1,1,4.25
Oligovit vitamine C,Gélule,Complément alimentaire,Immunité,1,1,0,0,0,0,1,1,1,3.75
Minciligne Homme,Solution,Complément alimentaire,Brûle graisses,2,1,0,0,0,0,1,1,1,4.0
Plantalgic,Gélule,Complément alimentaire,Anxiété,2,1,0,0,0,0,1,1,1,4.0
Pédiakids Crème pour le change 90gr,Crème,Crème Pour La Peau,Erythèmes,2,0,0,0,0,1,0,0,0,0.5
PHYTOFANE Fortifiant Phanères,Gélule,Complément alimentaire,Cheveux,3,1,0,0,0,0,1,1,1,4.25
SWEET health fer,Gummies,Complément alimentaire,Carence en Fer,2,1,0,0,0,0,0,4,1,8.5
Vitonic Junior,Suspension,Complément alimentaire,Revitalisant,1,1,0,0,0,0,0,0,0,0.25
Dermacné ( gel nettoyant ),Forme non spécifiée,Autre,Peau,1,0,0,0,0,0,0,1,0,1.75
LV PSOCALM,Pommade,Réparation De La Peau,Apaise,2,0,0,0,0,1,0,1,1,4.0
Hydra eau micellaire,Forme non spécifiée,Autre,Peau,1,0,0,0,0,0,0,6,0,6.25
LV Spasvit Sirop,Sirop,Complément alimentaire,Spasmes intestinaux,1,1,0,0,0,0,1,2,1,5.25
Pédiakids Crème pour le change,Crème,Crème Pour La Peau,soin bébé,2,0,0,0,0,1,0,0,0,0.5
Grossivit Sirop bébé et enfant,Sirop,Complément alimentaire,Appétit,2,1,0,0,0,0,1,0,0,0.5
HYDRAfine Après épilation,Crème,Crème Après Épilation,Cicatrices,3,0,0,0,0,1,0,1,1,4.25
Stimul plus,Gélule,Complément alimentaire,Fatigue sexuelle,2,1,0,0,0,0,1,0,0,0.5
Omevie Emotion - 900,Capsule,Complément alimentaire,état d’humeur,1,1,0,0,0,0,1,1,1,3.75
Uniderme peau mixte,Savon,Savon,Peau,1,0,0,0,0,0,0,1,1,3.75
Dermasoufre,Savon,Savon Dermatologique,Antiseptique,2,0,0,0,0,0,0,0,0,0.5
LV Tabastop,Gélule,Complément alimentaire,Servage tabagique,1,1,0,0,0,0,1,0,0,0.25
Pédiakids Multi Vitamines Pomme,Forme non spécifiée,Autre,Immunité,1,0,0,0,0,0,0,1,0,1.75
LV Vitamine D3,Gélule,Complément alimentaire,Immunité,2,1,0,0,0,0,1,5,1,8.5
Pectine de pomme,Gélule,Complément alimentaire,Coupe faim,1,1,0,0,0,0,1,1,1,3.75
Pédiakids Appétit croissance,Sirop,Complément alimentaire,Appétit,1,1,0,0,0,0,1,0,0,0.25
Vaseline,Crème,Crème,Peau,1,0,0,0,0,1,0,2,1,5.25
Mincicare 4 actions,Solution,Complément alimentaire,Détox,2,1,0,0,0,0,1,4,1,8.5
HYDRA GEL Nettoyant visage Peau Normale,Gel,Nettoyant Visage,nettoie,4,0,0,0,0,1,0,1,1,4.5
Phytofibres,Gélule,Complément alimentaire,Ballonnement et gaz,3,1,0,0,0,0,1,0,0,0.75
Minciligne Aux 9 plantes phytoactives,Solution,Complément alimentaire,Drainage,1,1,0,0,0,0,1,1,1,3.75
Pulmax Anti-Tussif,Sirop,Complément alimentaire,Toux,2,1,0,0,0,0,1,4,1,8.5
Hydra eau micellaire,Forme non spécifiée,Autre,Peau,1,0,0,0,0,0,0,6,0,6.25
Omevie Omega 3 - 500,Capsule,Complément alimentaire,Concentration,3,1,0,0,0,0,1,4,1,8.75
Vaseline glycérinée,Crème,Crème,Peau,1,0,0,0,0,1,0,2,1,5.25
DERMADOUCE,Savon,Savon Dermatologique,Exfoliant,2,0,0,0,0,0,0,0,0,0.5
Gelée Royale Gélule,Gélule,Complément alimentaire,Immunité,2,1,0,0,0,0,1,0,0,0.5
MULTIBON SOMMEIL,Gummies,Complément alimentaire,Troubles de sommeil,1,1,0,0,0,0,0,3,1,6.75
multi vitamines,Forme non spécifiée,Autre,Immunité,1,0,0,0,0,0,0,1,0,1.75
LV PHYTOVEINE,Sachet,Complément alimentaire,Jambes lourdes,2,1,0,0,0,0,1,1,1,4.0
LV GINKO Extra,Gélule,Complément alimentaire,Concentration,2,1,0,0,0,0,1,1,1,4.0
"LV Sélénium A, C, E + Gelée Royale",Gélule,Complément alimentaire,Anti-âge,2,1,0,0,0,0,1,0,0,0.5
LV Arthroforce Gélule,Gélule,Complément alimentaire,Arthrite,3,1,0,0,0,0,1,1,1,4.25
LV PhytoVeine Huile,Huile,Huile Pour Massage,Jambes lourdes,2,0,0,0,0,1,0,2,1,5.5
Uniderm peau grasse,Savon,Savon,Peau,1,0,0,0,0,0,0,1,1,3.75
Lécithine de Soja,Gélule,Complément alimentaire,Cholestérol,1,1,0,0,0,0,1,0,0,0.25
Vitonic Conception,Gélule,Complément alimentaire,Fertilité féminine,1,1,0,0,0,0,1,0,0,0.25
TC 2000 Savon,Savon,Savon Dermatologique,Anti-tâches,2,0,0,0,0,0,0,3,1,7.0
DermaGyn,Gel,Savon Dermatologique,Hygiène Intime,1,0,0,0,0,1,0,0,0,0.25
LV Spasvit Gélule,Gélule,Complément alimentaire,Spasmes intestinaux,1,1,0,0,0,0,1,2,1,5.25
PHYTOFANE Shampooing Anti Chute,Shampooing,Soin,Anti chute,2,0,0,0,1,0,0,1,1,4.0
VASELINE Urée 20%,Crème,Soin,Hydratation,2,0,0,0,1,1,0,1,1,4.0
LV Migrainal,Gélule,Complément alimentaire,Migraine,1,1,0,0,0,0,1,1,1,3.75
Pédiakids trio,Forme non spécifiée,Autre,Immunité,1,0,0,0,0,0,0,0,0,0.25
Pédiakids Apigrip,Sirop,Complément alimentaire,Grippe,3,1,0,0,0,0,1,0,0,0.75
Phytofane sérum lissant,Sérum,Sérum,Cheveux,1,0,0,0,0,0,0,1,1,3.75
Vaseline Salicylée 2%,Crème,Crème,Peau,1,0,0,0,0,1,0,4,1,8.25
Grossivit Gélule,Gélule,Autre,Appétit,2,0,0,0,0,0,1,4,0,6.5
Levure de Riz Rouge,Gélule,Complément alimentaire,Brûle graisses,2,1,0,0,0,0,1,1,1,4.0
Pédiakids Gripe water,Sirop,Complément alimentaire,Ballonnement et gaz,1,1,0,0,0,0,1,2,1,5.25
LV Fersang Bisglycinate de Fer,Gélule,Complément alimentaire,Anémie,1,1,0,0,0,0,1,5,1,8.25
Vitonic Fer,Gélule,Complément alimentaire,Fatigue intellectuelle,1,1,0,0,0,0,1,1,1,3.75
Millepertuis,Gélule,Complément alimentaire,Anxiété,2,1,0,0,0,0,1,1,1,4.0
Vitonic DIAB,Gélule,Complément alimentaire,Diabète,1,1,0,0,0,0,1,0,0,0.25
VITAL HEALTHCARE FERTICARE FEMME,Sachet,Complément alimentaire,Fertilité féminine,1,1,0,0,0,0,1,1,1,3.75
Phytodraine,Solution,Complément alimentaire,Cellulite,2,1,0,0,0,0,1,1,1,4.0
Pédiakids Multi Vitamines Framboise,Forme non spécifiée,Autre,Immunité,1,0,0,0,0,0,0,1,0,1.75
Ventre Ultra Plat,Gélule,Complément alimentaire,Coupe faim,2,1,0,0,0,0,1,0,0,0.5
Rhinoplant,Spray,Complément alimentaire,Grippe,2,1,0,0,0,0,0,3,1,7.0
Pédiakids Shampoing,Liquide,Autre,Cheveux,1,0,0,0,0,0,1,2,0,3.25
UNIDERM Anti-tache,Crème,Crème Pour La Peau,Anti-tâches,1,0,0,0,0,1,0,3,1,6.75
Mincivit Lait anti vergetures,Lait,Autre,Vergetures,1,0,0,0,0,0,0,1,0,1.75
Ventre Plat,Gélule,Autre,Ballonnement et gaz,2,0,0,0,0,0,1,3,0,5.0
Phytofane huile d’argan,Huile,Huile,Cheveux,1,0,0,0,0,1,0,3,1,6.75
Vitonic Tonus +,Gélule,Complément alimentaire,Fatigue intellectuelle,2,1,0,0,0,0,1,0,0,0.5
LV PhytoVeine Gélule,Gélule,Complément alimentaire,Jambes lourdes,2,1,0,0,0,0,1,0,0,0.5
LV Phytocalm,Gélule,Complément alimentaire,Anxiété,2,1,0,0,0,0,1,1,1,4.0
LV Lanorose,Crème,Crème Pour Usage Externe,Allaitement,2,0,0,0,0,1,0,0,0,0.5
Guarana,Gélule,Complément alimentaire,Brûle graisses,2,1,0,0,0,0,1,0,0,0.5
Pollen d’abeilles,Gélule,Complément alimentaire,Cheveux,2,1,0,0,0,0,1,0,0,0.5
Spiruline,Gélule,Complément alimentaire,Revitalisant,3,1,0,0,0,0,1,3,1,7.25
Pédiakids APITOU N°2 Sans Sucre,Sirop,Complément alimentaire,Soulage,3,1,0,0,0,0,1,2,1,5.75
VASELINE Urée 10%,Crème,Soin,Hydratation,3,0,0,0,1,1,0,1,1,4.25
Dermacné ( crème ),Forme non spécifiée,Autre,Peau,1,0,0,0,0,0,0,1,0,1.75
Plantexil Gélule,Gélule,Autre,Immunité,2,0,0,0,0,0,1,0,0,0.5
LV Mélatonuit,Gélule,Complément alimentaire,Troubles de sommeil,1,1,0,0,0,0,1,1,1,3.75
MULTIBON APIGORGE,Gummies,Complément alimentaire,Maux de gorge,1,1,0,0,0,0,0,2,1,5.25
VITONIC Grossesse,Gélule,Complément alimentaire,Grossesse,1,1,0,0,0,0,1,1,1,3.75
Oligovit magnésium,Gélule,Complément alimentaire,Anti-stress,2,1,0,0,0,0,1,2,1,5.5
Plantex vitamine C,Sachet,Complément alimentaire,Immunité,3,1,0,0,0,0,1,4,1,8.75
HYDRA GEL Nettoyant visage Peau Sèche,Gel,Nettoyant Visage,Hydrate,4,0,0,0,0,1,0,1,1,4.5
Pédiakids Calcium & Vit. D3,Sirop,Complément alimentaire,Ossature,1,1,0,0,0,0,1,0,0,0.25
Plantyl Sirop,Sirop,Autre,Grippe,2,0,0,0,0,0,1,1,0,2.0
Minciligne Vitaminé,Solution,Complément alimentaire,Brûle graisses,2,1,0,0,0,0,1,3,1,7.0
HYDRA GEL Nettoyant visage Peau Grasse,Gel,Nettoyant Visage,Matifie,4,0,0,0,0,1,0,1,1,4.5
HYDRASCREEN after sun,Forme non spécifiée,Autre,Peau,2,0,0,0,0,0,0,3,0,5.0
Vitosine Eosine Alcoolisée 2%,Spray,Soin,Anti septique,3,0,0,0,1,0,0,1,1,4.25
Grossivit vitaminé Sirop bébé et enfant,Sirop,Autre,Appétit,3,0,0,0,0,0,1,0,0,0.75
Aide minceur,Gélule,Complément alimentaire,Coupe faim,2,1,0,0,0,0,1,1,1,4.0
Vitonic Trio Grossesse,Gélule,Complément alimentaire,Immunité,1,1,0,0,0,0,1,4,1,8.25
MINCILGNE Coupe faim,Gélule,Complément alimentaire,Coupe faim,1,1,0,0,0,0,1,1,1,3.75
HYDRAVERA,Forme non spécifiée,Autre,Peau,1,0,0,0,0,0,0,1,0,1.75
Pédiakids Apigrip Sans Sucre,Sirop,Complément alimentaire,Grippe,3,1,0,0,0,0,1,3,1,7.25
Planthiol Gélule,Gélule,Complément alimentaire,Immunité,2,1,0,0,0,0,1,0,0,0.5
VITAL HEALTHCARE SKINCARE Anti-âge intensif,Gélule,Complément alimentaire,Anti-âge,2,1,0,0,0,0,1,1,1,4.0
Mincicare,Gélule,Complément alimentaire,Drainage,2,1,0,0,0,0,1,3,1,7.0
SWEET slim coupe faim,Gummies,Complément alimentaire,Coupe faim,2,1,0,0,0,0,0,3,1,7.0
CALMO dent,Baume Dentaire,Complément alimentaire,Douleur dentaire,1,1,0,0,0,0,0,1,1,3.75
Uniderme atténue les taches,Savon,Savon,Peau,1,0,0,0,0,0,0,1,1,3.75
Pédiakids Spray Nasal,Liquide,Complément alimentaire,Rhume,1,1,0,0,0,0,1,4,1,8.25
HYDRAscreen Lait solaire,Lait,Lait Solaire,Apaise,4,0,0,0,0,0,0,1,1,4.5
Pédiakids vitamine D3,Gouttes,Complément alimentaire,Immunité,2,1,0,0,0,0,1,1,1,4.0
Mémoire et Concentration,Gélule,Complément alimentaire,Concentration,2,1,0,0,0,0,1,0,0,0.5
LV SESA Gel 45gr,Gel,Autre,Cicatrices,1,0,0,0,0,1,0,1,0,1.75
LV Normaprost,Gélule,Complément alimentaire,Prostate,1,1,0,0,0,0,1,0,0,0.25
HYDRAscreen Huile solaire Pailletée,Huile,Huile Solaire,Hydratation,3,0,0,0,0,1,0,1,1,4.25
Minciligne Draineur,Gélule,Complément alimentaire,Coupe faim,3,1,0,0,0,0,1,3,1,7.25
Dermacne,Savon,Savon,Acné,2,0,0,0,0,0,0,1,1,4.0
FONGIDERM Antifongique Cheveux & corps,Gel,Soin,Antifongique,4,0,0,0,1,1,0,1,1,4.5
TC 2000 Gel,Gel,Autre,Anti-tâches,2,0,0,0,0,1,0,1,0,2.0
Plantexil Sirop,Sirop,Complément alimentaire,Immunité,2,1,0,0,0,0,1,0,0,0.5
MULTIBON VITAMINE C Acérola,Guumies,Complément alimentaire,Immunité,2,1,0,0,0,0,0,2,1,5.5
Dermacné (gélule),Forme non spécifiée,Autre,Peau,1,0,0,0,0,0,0,1,0,1.75
Omevie Articulation - 900,Capsule,Complément alimentaire,Confort articulaire,2,1,0,0,0,0,1,3,1,7.0
Pédiakids APITOU N°1 Sans Sucre,Sirop,Complément alimentaire,Soulage,3,1,0,0,0,0,1,3,1,7.25
Pédiakids APITOU N°2,Sirop,Complément alimentaire,Toux sèche,1,1,0,0,0,0,1,0,0,0.25
LV Arthroforce Gel,Gel,Complément alimentaire,Arthrite,3,1,0,0,0,1,0,1,1,4.25
LiftCaféine,Gel,Gel,Cellulite,1,0,0,0,0,1,0,0,0,0.25
LV Hemostop 60 Gélules,Gélule,Complément alimentaire,Hémorroïdes,1,1,0,0,0,0,1,4,1,8.25
Grossivit vitaminé Gélule,Gélule,Complément alimentaire,Prise de poids,3,1,0,0,0,0,1,0,0,0.75
LV Fersang Sirop,Sirop,Complément alimentaire,Anémie,2,1,0,0,0,0,1,5,1,8.5
VITONIC Grossesse,Gélule,Complément alimentaire,Grossesse,1,1,0,0,0,0,1,1,1,3.75
Mincivit origin,Flacon (250 Ml),Complément alimentaire,Détox,1,1,0,0,0,0,0,1,1,3.75
Gelée Royale sachet,Sachet,Complément alimentaire,Immunité,2,1,0,0,0,0,1,0,0,0.5
Dermalo,Savon,Savon Dermatologique,Antiseptique,2,0,0,0,0,0,0,0,0,0.5
HYDRAscreen Huile solaire,Huile,Huile Solaire,Hydratation,3,0,0,0,0,1,0,1,1,4.25
PLANTHÉRAPIE PLANTEX RHUME,Sachet,Autre,Immunité,1,0,0,0,0,0,1,2,0,3.25
Plantex,Gélule,Autre,Grippe,2,0,0,0,0,0,1,0,0,0.5
Vitonic Fertilité,Gélule,Complément alimentaire,Fertilité masculine,1,1,0,0,0,0,1,0,0,0.25
Angiplant Spray,Spray,Complément alimentaire,Grippe,2,1,0,0,0,0,0,2,1,5.5
Pédiakids Multi Vitamines Banane,Forme non spécifiée,Autre,Immunité,1,0,0,0,0,0,0,1,0,1.75
MULTIBON OMEGA 3,Gummies,Complément alimentaire,Concentration,2,1,0,0,0,0,0,2,1,5.5
Pédiakids APITOU N°1,Sirop,Complément alimentaire,Toux grasse,1,1,0,0,0,0,1,0,0,0.25
LV Tetra B,Gélule,Complément alimentaire,Equilibre métabolique,1,1,0,0,0,0,1,4,1,8.25
Vitosine Eosine Aqueuse 2%,Spray,Nettoyer Et Assécher La Peau,Eosine,3,0,0,0,0,0,0,1,1,4.25
Pédiakids Immunovit,Sirop,Complément alimentaire,Immunité,1,1,0,0,0,0,1,3,1,6.75
Planthérapie Plantexil Sans sucre,Sirop,Complément alimentaire,Confort respiratoire,2,1,0,0,0,0,1,1,1,4.0
LV Diabemin,Gélule,Complément alimentaire,Glycémie,1,1,0,0,0,0,1,0,0,0.25
Dermagyn 200 ml,Forme non spécifiée,Autre,Hygiène Intime,1,0,0,0,0,0,0,4,0,6.25
Planthérapie Allergiplant,Sachet,Complément alimentaire,Allergie,2,1,0,0,0,0,1,1,1,4.0
SWEET bronzage,Gummies,Complément alimentaire,Peau,3,1,0,0,0,0,0,7,1,8.75
LV Hemostop Crème 45 gr,Crème,Autre,Hémorroïdes,1,0,0,0,0,1,0,4,0,6.25
Angiplant Sirops,Sirop,Complément alimentaire,Grippe,2,1,0,0,0,0,1,2,1,5.5
Pédiakids Spray Gorge,Liquide,Complément alimentaire,Maux de gorge,1,1,0,0,0,0,1,2,1,5.25
Planthiol Sirop,Gélule,Complément alimentaire,Immunité,2,1,0,0,0,0,1,0,0,0.5
Uniderme peau sèche,Savon,Savon,Peau,1,0,0,0,0,0,0,1,1,3.75
Omevie Cardio - 900,Capsule,Complément alimentaire,Cholestérol,3,1,0,0,0,0,1,4,1,8.75
MULTIBON CALCIUM-VIT.D3,Gummies,Complément alimentaire,Ossature,1,1,0,0,0,0,0,2,1,5.25
Amincissant Actif,Gélule,Complément alimentaire,Elimination des graisses,2,1,0,0,0,0,1,0,0,0.5
Pédiakids Apigorge,Sirop,Complément alimentaire,Maux de gorge,1,1,0,0,0,0,1,2,1,5.25
Levure de bière,Gélule,Complément alimentaire,Cheveux,3,1,0,0,0,0,1,0,0,0.75
Uniderme peau sensible,Savon,Savon,Peau,1,0,0,0,0,0,0,1,1,3.75
Coenzyme Q10,Gélule,Complément alimentaire,Brûle graisses,2,1,0,0,0,0,1,0,0,0.5
Pédiakids Pommade change INTENSIVE,Crème,Crème Pour La Peau,Erythèmes,2,0,0,0,0,1,0,0,0,0.5
LV Sesa,Pommade,Complément alimentaire,Cicatrices,1,1,0,0,0,1,0,4,1,8.25
Vitonic sénior,Gélule,Complément alimentaire,Concentration,2,1,0,0,0,0,1,0,0,0.5
Planthérapie Planthiol Sans sucre,Sirop,Complément alimentaire,Confort respiratoire,2,1,0,0,0,0,1,1,1,4.0
Minciligne Postnatale,Solution,Complément alimentaire,Brûle graisses,3,1,0,0,0,0,1,1,1,4.25
Vitonic Zinc Vit.D3,Gélule,Complément alimentaire,Immunité,1,1,0,0,0,0,1,4,1,8.25
Pédiakids Huile de massage sommeil,Forme non spécifiée,Autre,soin bébé,1,0,0,0,0,0,0,1,0,1.75
HYDRA GEL - CRÈME Nettoyant visage,Crème,Nettoyant Visage,Hydrate,3,0,0,0,0,1,0,1,1,4.25
Minciligne Jeune & Ado,Solution,Complément alimentaire,Brûle graisses,2,1,0,0,0,0,1,2,1,5.5
Omevie Grossesse - 1000,Capsule,Complément alimentaire,Grossesse,1,1,0,0,0,0,1,1,1,3.75
Vinaigre de cidre,Liquide,Complément alimentaire,Cholestérol,2,1,0,0,0,0,1,0,0,0.5
Pédiakids Oméga 3,Sirop,Complément alimentaire,Concentration,2,1,0,0,0,0,1,0,0,0.5
Pédiakids Apinez,Sirop,Autre,Rhume,2,0,0,0,0,0,1,2,0,3.5
ARGIDERM,Savon,Savon Dermatologique,Antiseptique,1,0,0,0,0,0,0,0,0,0.25
LV Crème Dalibour,Crème,Crème Pour Usage Externe,Cicatrices,2,0,0,0,0,1,0,0,0,0.5
Pédiakids Sommeil Calme,Sirop,Complément alimentaire,Troubles de sommeil,1,1,0,0,0,0,1,0,0,0.25
PHYTOFANE Shampooing Antipelliculaire,Shampooing,Soin Capillaire,Antipelliculaire,2,0,0,0,1,0,0,1,1,4.0
Minciligne Brûle Graisse,Gélule,Complément alimentaire,Brûle graisses,2,1,0,0,0,0,1,3,1,7.0
LV PhytoVeine Gel,Gel,Gel Pour Massage,Varices,2,0,0,0,0,1,0,2,1,5.5
LV GINKO Extra,Gouttes,Complément alimentaire,Concentration,2,1,0,0,0,0,1,1,1,4.0
Mincivit Detox,Flacon (250 Ml),Complément alimentaire,Détox,1,1,0,0,0,0,0,3,1,6.75
Pédiakids Savon extra doux,Savon,Savon,Peau,1,0,0,0,0,0,0,1,1,3.75
Magnésium,Gélule,Complément alimentaire,Fatigue,2,1,0,0,0,0,1,0,0,0.5
Vitonic Fer Grossesse,Gélule,Complément alimentaire,Grossesse,1,1,0,0,0,0,1,3,1,6.75
Vitonic Examens,Gélule,Complément alimentaire,Concentration,2,1,0,0,0,0,1,0,0,0.5
PHYTOFANE Lotion Antipelliculaire,Lotion,Lotion Antipelliculaire,Antipelliculaire,2,0,0,0,0,1,0,1,1,4.0
Pédiakids COLIGAZ,Gouttes,Complément alimentaire,Ballonnement et gaz,1,1,0,0,0,0,1,0,0,0.25
Vitonic Grossesse,Gélule,Complément alimentaire,Grossesse,1,1,0,0,0,0,1,0,0,0.25
Allergiplant,Forme non spécifiée,Autre,Allergie,2,0,0,0,0,0,0,1,0,2.0
HYDRAFINE,Forme non spécifiée,Autre,Peau,1,0,0,0,0,0,0,3,0,4.75
LV Cysprotect,Gélule,Complément alimentaire,Cystites,2,1,0,0,0,0,1,0,0,0.5
Plantyl capsule,Capsule,Complément alimentaire,Grippe,2,1,0,0,0,0,1,1,1,4.0
