id_pharmay,total_visites,premiere_visite,derniere_visite,nb_delegues,jours_depuis_visite
8365,17,2017-03-22,2023-02-16,8,1127
8470,2,2017-07-20,2017-08-10,2,3143
8507,2,2019-10-21,2020-01-28,1,2242
8553,1,2017-05-25,2017-05-25,1,3220
8588,1,2024-02-22,2024-02-22,1,756
8589,1,2024-05-16,2024-05-16,1,672
8688,1,2017-04-19,2017-04-19,1,3256
8719,2,2017-03-15,2018-05-14,2,2866
9002,1,2018-04-20,2018-04-20,1,2890
9044,26,2017-03-30,2020-01-17,6,2253
9061,94,2017-10-26,2025-05-06,8,317
9067,5,2017-04-17,2017-12-12,4,3019
9261,1,2021-01-19,2021-01-19,1,1885
9366,1,2017-07-21,2017-07-21,1,3163
9412,4,2017-12-18,2023-09-29,3,902
9435,1,2017-05-09,2017-05-09,1,3236
9453,191,2017-03-17,2024-03-26,18,723
9518,28,2017-03-23,2019-10-07,11,2355
9540,1,2021-10-08,2021-10-08,1,1623
9589,1,2017-04-25,2017-04-25,1,3250
9592,27,2018-02-27,2021-03-22,8,1823
9600,12,2017-04-20,2019-08-08,7,2415
9609,16,2017-04-04,2021-04-12,5,1802
9640,1,2017-08-18,2017-08-18,1,3135
9689,168,2017-03-14,2025-12-26,14,83
9697,2,2017-05-08,2017-08-16,2,3137
9723,13,2019-04-29,2023-09-11,3,920
9744,2,2019-06-25,2019-12-30,2,2271
9754,46,2017-03-17,2023-04-07,12,1077
9769,9,2017-03-16,2018-08-23,5,2765
9861,6,2018-02-20,2019-06-21,3,2463
9884,2,2021-11-23,2024-12-31,2,443
10023,34,2017-03-28,2025-07-24,9,238
10082,1,2024-08-27,2024-08-27,1,569
10125,7,2017-03-28,2021-06-25,6,1728
10159,5,2019-03-18,2019-05-28,1,2487
10180,2,2023-05-23,2023-06-13,1,1010
10192,1,2017-07-05,2017-07-05,1,3179
10210,13,2017-03-23,2019-09-03,7,2389
10212,8,2017-03-29,2018-02-15,5,2954
10260,1,2017-05-25,2017-05-25,1,3220
10265,6,2017-03-18,2017-12-13,2,3018
10274,1,2017-03-14,2017-03-14,1,3292
10286,1,2017-12-14,2017-12-14,1,3017
10287,1,2017-10-27,2017-10-27,1,3065
10306,3,2017-04-04,2017-11-24,3,3037
10380,2,2017-07-05,2021-11-08,2,1592
10437,12,2017-03-16,2023-11-24,6,846
10449,15,2017-04-07,2023-03-24,7,1091
10512,43,2017-09-28,2021-03-17,7,1828
10520,361,2017-03-15,2025-12-25,10,84
10529,55,2017-03-23,2025-03-24,11,360
10563,1,2018-11-08,2018-11-08,1,2688
10690,3,2017-04-06,2017-12-12,3,3019
10781,7,2017-03-23,2018-04-03,5,2907
10843,1,2019-12-12,2019-12-12,1,2289
10851,83,2022-01-10,2025-12-08,2,101
10883,1,2024-07-05,2024-07-05,1,622
11014,1,2022-02-07,2022-02-07,1,1501
11079,1,2017-04-28,2017-04-28,1,3247
11141,8,2017-03-29,2018-03-26,4,2915
11163,5,2017-03-29,2019-09-27,4,2365
11185,8,2017-11-17,2019-08-22,4,2401
11258,14,2018-04-17,2025-02-03,4,409
11375,6,2024-07-17,2025-07-30,3,232
11453,1,2021-09-23,2021-09-23,1,1638
11454,1,2023-02-03,2023-02-03,1,1140
11490,41,2017-04-19,2025-01-29,9,414
11530,1,2022-04-22,2022-04-22,1,1427
11605,12,2020-07-16,2025-07-30,5,232
11713,7,2017-04-10,2022-06-02,5,1386
11720,120,2017-03-16,2025-09-02,18,198
11729,14,2017-03-27,2018-10-17,6,2710
11744,3,2021-03-23,2021-04-16,2,1798
11760,1,2025-07-15,2025-07-15,1,247
11806,1,2018-01-24,2018-01-24,1,2976
11878,8,2018-08-10,2019-06-20,4,2464
11894,38,2017-03-21,2025-06-10,8,282
11895,8,2017-03-31,2019-09-24,5,2368
11923,62,2017-04-26,2025-03-03,12,381
11947,46,2017-05-26,2024-09-24,11,541
11982,1,2024-05-30,2024-05-30,1,658
12025,112,2017-08-02,2026-01-07,9,71
12032,9,2021-06-23,2021-11-26,2,1574
12054,112,2022-01-12,2026-01-13,5,65
12055,25,2020-10-01,2023-08-17,2,945
12069,90,2019-12-27,2024-08-20,6,576
12071,130,2017-03-15,2025-08-07,8,224
12132,107,2017-08-01,2026-01-16,7,62
12133,51,2017-03-24,2023-04-26,6,1058
12170,173,2017-07-11,2026-01-15,5,63
12184,1,2017-07-13,2017-07-13,1,3171
12185,220,2017-03-21,2026-01-14,10,64
12228,1,2017-07-13,2017-07-13,1,3171
12230,120,2017-03-17,2025-08-06,9,225
12231,25,2017-03-23,2025-08-08,7,223
12249,11,2021-06-28,2026-01-09,5,69
12250,3,2017-07-12,2018-02-07,2,2962
12259,11,2021-04-02,2024-08-23,6,573
12260,177,2017-03-27,2025-08-05,9,226
12289,115,2017-03-16,2023-08-18,11,944
12290,63,2017-04-13,2023-04-26,6,1058
12303,2,2017-07-11,2018-06-26,1,2823
12318,67,2017-03-22,2023-08-16,10,946
12319,4,2017-07-11,2023-08-18,4,944
12321,2,2017-03-18,2017-04-21,1,3254
12339,1,2023-08-15,2023-08-15,1,947
12351,3,2019-12-17,2024-06-10,3,647
12365,11,2018-06-28,2025-08-04,6,227
12387,3,2017-05-17,2019-12-31,2,2270
12416,81,2019-12-24,2025-08-15,5,216
12457,1,2019-12-27,2019-12-27,1,2274
12496,20,2020-10-09,2021-10-05,1,1626
12497,105,2017-04-18,2026-01-12,6,66
12508,13,2019-12-26,2020-12-16,1,1919
12520,62,2017-04-03,2024-08-22,13,574
12628,1,2017-11-15,2017-11-15,1,3046
12644,2,2017-04-01,2017-07-31,2,3153
12701,2,2018-04-23,2021-03-17,2,1828
12729,96,2017-04-07,2023-06-16,11,1007
12758,1,2021-03-16,2021-03-16,1,1829
12802,1,2017-11-14,2017-11-14,1,3047
12815,67,2017-04-03,2024-05-23,13,665
12853,3,2025-01-17,2025-07-02,1,260
12890,15,2024-10-24,2025-12-04,1,105
12911,2,2017-04-12,2017-04-27,1,3248
12954,6,2017-10-27,2019-02-20,4,2584
12997,1,2017-08-03,2017-08-03,1,3150
12999,1,2017-03-23,2017-03-23,1,3283
13001,1,2017-08-25,2017-08-25,1,3128
13031,14,2017-09-14,2025-10-31,5,139
13062,1,2017-08-24,2017-08-24,1,3129
13122,2,2017-08-03,2017-08-21,1,3132
13145,60,2017-08-17,2024-06-07,11,650
13178,1,2017-09-15,2017-09-15,1,3107
13180,2,2017-11-21,2019-03-28,2,2548
13210,13,2017-03-28,2024-07-19,8,608
13218,8,2017-07-14,2018-02-08,5,2961
13219,2,2017-08-22,2017-10-20,2,3072
13243,4,2017-03-21,2018-08-01,3,2787
13296,1,2018-07-05,2018-07-05,1,2814
13380,92,2017-03-28,2025-11-13,6,126
13399,5,2022-04-21,2025-05-15,1,308
13410,31,2017-03-14,2020-10-19,6,1977
13423,1,2018-04-26,2018-04-26,1,2884
13427,4,2018-04-24,2023-08-03,3,959
13436,4,2017-04-28,2019-12-23,3,2278
13476,25,2020-10-14,2024-01-29,2,780
13483,182,2017-03-22,2025-12-16,10,93
13488,48,2017-03-17,2025-11-17,4,122
13503,129,2017-03-29,2025-12-25,8,84
13534,9,2017-07-17,2019-04-22,3,2523
13540,1,2019-03-22,2019-03-22,1,2554
13565,2,2018-04-05,2018-04-12,2,2898
13578,1,2019-12-06,2019-12-06,1,2295
13584,11,2017-03-24,2019-09-24,5,2368
13585,4,2017-05-05,2018-04-12,4,2898
13656,109,2017-04-03,2025-12-08,7,101
13673,1,2017-06-13,2017-06-13,1,3201
13715,1,2021-10-28,2021-10-28,1,1603
13737,15,2017-03-27,2019-11-15,7,2316
13745,2,2017-06-12,2017-07-14,1,3170
13847,120,2017-03-21,2025-12-09,8,100
13859,62,2021-08-17,2025-12-16,4,93
13869,2,2017-04-17,2017-04-18,1,3257
13876,16,2017-03-27,2024-09-05,6,560
13897,8,2020-07-20,2021-02-02,1,1871
13929,1,2019-10-24,2019-10-24,1,2338
13949,1,2020-11-25,2020-11-25,1,1940
13952,3,2019-10-31,2019-11-22,1,2309
14052,96,2017-03-14,2025-12-18,8,91
14124,48,2018-12-04,2024-12-26,6,448
14157,256,2017-04-11,2025-12-31,5,78
14184,312,2017-03-16,2025-12-29,9,80
14185,29,2017-03-21,2021-03-29,4,1816
14231,3,2017-03-15,2017-08-02,2,3151
14316,4,2017-03-29,2017-05-03,2,3242
14317,298,2017-04-21,2025-12-26,5,83
14337,2,2017-04-07,2017-04-27,2,3248
14361,4,2017-03-17,2019-09-27,3,2365
14376,83,2017-03-24,2025-12-12,10,97
14388,102,2019-10-30,2025-12-30,3,79
14389,1,2019-11-01,2019-11-01,1,2330
14390,1,2022-05-20,2022-05-20,1,1399
14443,2,2018-04-16,2022-05-17,2,1402
14491,13,2019-03-07,2020-01-03,2,2267
14497,202,2017-03-27,2026-01-12,7,66
14545,8,2020-06-11,2022-11-02,2,1233
14549,3,2017-03-23,2018-10-18,2,2709
14560,18,2017-03-16,2023-02-15,6,1128
14597,8,2017-03-20,2023-06-05,3,1018
14641,9,2019-09-26,2020-03-12,1,2198
14661,12,2022-06-17,2023-05-19,1,1035
14677,1,2017-05-20,2017-05-20,1,3225
14692,1,2017-05-09,2017-05-09,1,3236
14826,2,2021-03-25,2021-04-15,1,1799
14843,5,2020-05-06,2021-03-16,1,1829
14882,14,2017-04-10,2018-09-28,2,2729
14885,4,2018-04-05,2021-10-25,2,1606
14903,1,2021-07-07,2021-07-07,1,1716
14925,4,2018-02-22,2023-05-31,2,1023
14931,3,2018-05-11,2023-01-26,3,1148
14941,4,2021-03-15,2021-06-07,1,1746
14945,8,2017-04-03,2019-03-01,3,2575
14949,2,2018-07-19,2020-01-31,2,2239
14989,4,2018-11-13,2021-11-08,3,1592
14998,1,2017-08-15,2017-08-15,1,3138
15007,32,2017-04-06,2023-01-27,6,1147
15030,55,2018-01-25,2021-06-03,3,1750
15050,4,2018-04-13,2023-08-09,3,953
15051,1,2020-06-15,2020-06-15,1,2103
15063,2,2018-04-21,2018-07-12,1,2807
15096,1,2020-03-05,2020-03-05,1,2205
15166,2,2017-05-04,2017-05-23,1,3222
15330,263,2017-03-22,2025-12-10,9,99
15371,6,2017-04-25,2019-11-14,4,2317
15372,1,2022-01-20,2022-01-20,1,1519
15385,7,2020-12-03,2021-03-13,1,1832
15392,271,2019-02-05,2026-01-13,6,65
15525,13,2018-07-20,2020-08-06,3,2051
15526,141,2017-03-28,2024-10-31,5,504
15542,1,2017-04-11,2017-04-11,1,3264
15687,1,2017-04-17,2017-04-17,1,3258
15688,5,2017-12-08,2019-02-15,3,2589
15878,28,2017-03-15,2021-03-16,5,1829
15879,6,2022-07-06,2022-10-12,1,1254
15880,5,2017-09-14,2018-01-11,2,2989
16184,1,2018-05-30,2018-05-30,1,2850
16187,32,2017-11-13,2023-01-25,7,1149
16188,7,2017-04-21,2018-02-16,2,2953
16210,1,2021-08-06,2021-08-06,1,1686
16211,10,2021-11-19,2023-05-29,2,1025
16228,103,2017-03-21,2026-01-15,6,63
16230,25,2019-02-14,2023-03-22,3,1093
16245,115,2017-06-09,2025-12-25,4,84
16263,6,2017-09-15,2020-11-26,3,1939
16285,6,2017-06-08,2019-11-14,3,2317
16308,2,2017-04-25,2021-06-17,2,1736
16325,27,2017-08-14,2021-06-10,4,1743
16334,2,2017-03-24,2017-05-18,1,3227
16347,1,2024-08-20,2024-08-20,1,576
16355,1,2022-10-31,2022-10-31,1,1235
16361,1,2025-02-05,2025-02-05,1,407
16378,2,2022-05-24,2022-11-01,2,1234
16399,2,2025-02-06,2025-02-13,1,399
16400,2,2018-03-08,2018-04-26,2,2884
16416,1,2025-02-04,2025-02-04,1,408
16436,2,2022-05-25,2022-11-02,2,1233
16450,4,2017-12-18,2018-04-23,3,2887
16453,5,2017-12-20,2022-05-26,4,1393
16476,1,2017-05-24,2017-05-24,1,3221
16558,1,2022-06-15,2022-06-15,1,1373
16596,1,2022-07-07,2022-07-07,1,1351
16643,4,2017-03-14,2018-05-29,2,2851
16711,2,2025-02-27,2025-04-16,1,337
16728,4,2017-08-16,2021-11-02,3,1598
16759,4,2017-03-22,2024-05-15,3,673
16760,12,2017-03-16,2019-04-25,5,2520
16797,120,2017-08-02,2026-01-15,10,63
16798,54,2017-10-16,2026-01-14,6,64
16799,9,2017-08-02,2019-04-26,5,2519
16819,1,2017-03-15,2017-03-15,1,3291
16832,2,2025-01-17,2025-09-09,1,191
16864,5,2021-04-07,2024-05-17,3,671
16883,5,2017-09-29,2019-08-20,4,2403
16931,1,2024-07-05,2024-07-05,1,622
16940,1,2021-12-27,2021-12-27,1,1543
16944,2,2017-08-01,2024-07-18,2,609
16956,3,2017-07-12,2017-08-21,2,3132
17016,3,2020-07-01,2020-07-21,1,2067
17023,1,2024-07-19,2024-07-19,1,608
17024,4,2024-07-18,2025-07-31,2,231
17025,21,2017-04-06,2021-11-08,7,1592
17026,6,2021-11-11,2024-07-19,4,608
17052,1,2019-03-25,2019-03-25,1,2551
17141,2,2017-04-10,2017-05-05,1,3240
17142,1,2022-04-12,2022-04-12,1,1437
17152,8,2017-05-04,2018-02-20,5,2949
17212,1,2021-10-04,2021-10-04,1,1627
17235,6,2017-12-26,2024-07-18,3,609
17298,42,2017-07-11,2020-08-07,3,2050
17299,4,2021-10-28,2024-03-06,2,743
17300,171,2017-03-17,2025-11-20,13,119
17375,3,2019-03-12,2019-08-02,2,2421
17427,2,2017-03-27,2017-04-20,1,3255
17428,3,2017-12-25,2018-02-16,1,2953
17430,8,2021-04-12,2025-02-19,5,393
17552,58,2017-07-13,2020-06-19,4,2099
17555,8,2017-08-03,2019-01-11,3,2624
17631,6,2017-03-31,2019-08-20,4,2403
17632,5,2017-08-04,2019-07-31,5,2423
17704,74,2017-11-24,2020-07-14,3,2074
17705,1,2023-05-23,2023-05-23,1,1031
17828,88,2017-03-30,2026-01-13,3,65
17829,23,2017-04-13,2019-03-26,7,2550
17841,3,2017-08-30,2021-06-30,3,1723
17846,1,2019-02-28,2019-02-28,1,2576
17889,72,2018-07-30,2024-04-15,5,703
17896,19,2020-10-26,2025-08-11,4,220
17957,6,2018-06-28,2019-01-04,1,2631
17983,4,2017-12-19,2018-06-27,3,2822
18106,1,2022-06-14,2022-06-14,1,1374
18221,1,2017-07-11,2017-07-11,1,3173
18252,1,2018-12-05,2018-12-05,1,2661
18380,5,2017-04-19,2021-01-27,5,1877
18381,30,2017-03-24,2021-02-09,9,1864
18385,5,2018-05-23,2021-04-07,4,1807
18618,151,2019-09-05,2026-01-16,5,62
18774,68,2017-03-17,2020-05-08,6,2141
19089,228,2018-12-12,2025-12-24,10,85
19650,2,2018-06-26,2018-07-31,1,2788
19747,1,2017-07-01,2017-07-01,1,3183
19792,1,2025-02-12,2025-02-12,1,400
19862,1,2017-04-28,2017-04-28,1,3247
19874,1,2023-03-10,2023-03-10,1,1105
19876,1,2017-04-22,2017-04-22,1,3253
19878,2,2017-05-03,2017-05-03,1,3242
19958,1,2017-03-29,2017-03-29,1,3277
19961,1,2019-12-10,2019-12-10,1,2291
19962,6,2017-08-14,2021-06-04,4,1749
19991,5,2017-07-11,2018-07-31,2,2788
20002,9,2022-06-29,2023-02-22,2,1121
20003,16,2017-05-12,2025-11-24,11,115
20004,96,2019-03-04,2026-01-16,7,62
20005,24,2018-01-16,2019-01-18,1,2617
20006,41,2017-07-11,2019-04-11,8,2534
20007,1,2019-04-23,2019-04-23,1,2522
20010,1,2017-05-16,2017-05-16,1,3229
20017,3,2017-03-28,2017-12-26,2,3005
20019,7,2017-07-11,2024-02-27,6,751
20029,2,2017-04-21,2017-11-03,2,3058
20124,1,2019-04-01,2019-04-01,1,2544
20212,51,2017-03-15,2025-06-18,12,274
20217,22,2017-05-25,2023-04-13,9,1071
20268,1,2022-06-13,2022-06-13,1,1375
20270,1,2017-03-24,2017-03-24,1,3282
20275,1,2017-03-30,2017-03-30,1,3276
20281,55,2018-04-23,2025-12-15,5,94
20403,12,2017-04-20,2022-07-01,2,1357
20419,16,2018-04-11,2019-11-22,3,2309
20420,68,2017-04-13,2025-12-29,14,80
20421,35,2017-03-15,2022-06-17,14,1371
20428,2,2017-04-04,2017-07-06,2,3178
20467,53,2017-03-14,2019-10-14,6,2348
20472,42,2017-03-24,2019-09-27,10,2365
20474,37,2017-04-13,2019-10-07,9,2355
20502,44,2017-04-03,2021-04-13,14,1801
20580,2,2017-05-24,2023-01-13,2,1161
20610,83,2017-03-15,2025-12-10,5,99
20611,38,2017-03-23,2023-07-11,5,982
20617,1,2024-11-29,2024-11-29,1,475
20712,1,2024-01-18,2024-01-18,1,791
20822,8,2017-04-14,2022-05-19,3,1400
20923,34,2017-04-03,2024-07-11,8,616
20957,7,2017-03-27,2020-12-29,6,1906
20968,7,2023-07-09,2024-05-13,1,675
21021,2,2017-03-30,2017-05-08,1,3237
21117,99,2017-04-12,2025-04-30,8,323
21167,8,2017-05-12,2019-10-11,2,2351
21178,4,2017-03-16,2018-01-09,3,2991
21179,6,2017-04-27,2018-02-06,3,2963
21194,1,2018-01-23,2018-01-23,1,2977
21297,2,2022-08-18,2022-08-26,1,1301
21416,1,2017-05-18,2017-05-18,1,3227
21568,1,2022-08-12,2022-08-12,1,1315
21621,4,2017-04-05,2021-01-18,3,1886
21631,4,2017-05-19,2017-09-08,1,3114
21632,1,2019-02-18,2019-02-18,1,2586
21647,3,2017-04-14,2017-05-17,1,3228
21658,164,2017-03-28,2025-12-26,8,83
21738,1,2017-05-11,2017-05-11,1,3234
21753,2,2017-05-15,2018-03-20,2,2921
21781,20,2017-08-11,2025-10-16,3,154
21873,89,2018-08-02,2026-01-12,5,66
21970,14,2017-05-19,2022-03-02,5,1478
21989,3,2024-07-18,2025-07-03,2,259
22071,2,2017-05-23,2017-10-20,2,3072
22072,200,2017-03-24,2025-12-29,11,80
22090,1,2017-12-21,2017-12-21,1,3010
22128,14,2021-10-29,2025-05-27,1,296
22282,5,2018-01-05,2023-07-12,2,981
22326,2,2017-03-27,2017-04-18,1,3257
22383,2,2021-03-09,2021-11-19,2,1581
22399,4,2017-04-20,2017-04-28,1,3247
22524,1,2017-07-10,2017-07-10,1,3174
22552,1,2022-06-23,2022-06-23,1,1365
22616,1,2017-04-27,2017-04-27,1,3248
22732,5,2017-03-29,2017-10-06,2,3086
22825,6,2017-04-20,2017-11-16,1,3045
22847,1,2017-04-19,2017-04-19,1,3256
22876,2,2017-04-14,2017-11-14,2,3047
22884,3,2017-04-24,2022-10-03,3,1263
22924,4,2017-04-29,2017-12-19,3,3012
22970,1,2017-05-11,2017-05-11,1,3234
23012,79,2017-05-11,2025-12-26,3,83
23014,1,2017-05-17,2017-05-17,1,3228
23016,1,2021-02-16,2021-02-16,1,1857
23017,111,2021-02-02,2025-12-30,2,79
23037,2,2021-01-29,2021-09-13,1,1648
23044,2,2017-05-16,2021-03-25,2,1820
23045,1,2017-05-18,2017-05-18,1,3227
23110,7,2022-04-12,2025-03-27,1,357
24225,4,2022-06-14,2024-03-18,3,731
24303,123,2020-05-04,2026-01-07,4,71
24304,8,2017-11-17,2020-02-17,2,2222
24314,3,2022-10-27,2022-12-08,1,1197
24720,23,2018-01-30,2025-05-15,9,308
24811,48,2021-06-22,2023-08-14,6,948
25292,3,2022-11-03,2023-03-16,2,1099
25296,5,2020-12-11,2023-11-14,4,856
25330,2,2019-02-26,2022-05-20,2,1399
25501,44,2020-05-06,2021-10-13,1,1618
26042,11,2020-01-09,2022-08-16,2,1311
26269,1,2018-09-10,2018-09-10,1,2747
26374,5,2024-04-04,2025-07-01,2,261
26671,1,2021-06-11,2021-06-11,1,1742
26773,4,2023-10-19,2025-03-18,1,366
26788,10,2021-04-12,2025-02-13,3,399
26838,1,2022-07-13,2022-07-13,1,1345
26855,1,2025-11-05,2025-11-05,1,134
26894,1,2025-09-02,2025-09-02,1,198
26939,3,2019-04-11,2019-04-24,2,2521
27256,1,2021-06-14,2021-06-14,1,1739
28319,4,2021-01-18,2021-11-25,2,1575
28840,2,2022-07-22,2022-08-11,1,1316
28888,2,2021-03-22,2021-03-22,2,1823
29153,3,2022-04-22,2022-07-31,2,1327
29436,138,2022-09-06,2025-12-29,2,80
29904,1,2020-06-03,2020-06-03,1,2115
30634,5,2024-03-05,2024-10-09,1,526
30652,6,2019-07-31,2025-09-01,2,199
30657,4,2019-07-29,2021-03-11,3,1834
30808,1,2021-01-12,2021-01-12,1,1892
30914,1,2021-08-02,2021-08-02,1,1690
31141,1,2023-04-18,2023-04-18,1,1066
31204,1,2019-10-22,2019-10-22,1,2340
31277,1,2022-04-19,2022-04-19,1,1430
31289,3,2019-12-26,2025-05-31,2,292
31336,117,2024-05-27,2025-12-30,2,79
31876,76,2020-02-05,2025-01-23,7,420
31895,3,2021-01-05,2021-03-29,3,1816
32539,1,2024-04-05,2024-04-05,1,713
32697,4,2021-03-29,2025-02-03,2,409
33041,2,2021-12-01,2023-04-28,2,1056
34048,17,2022-04-23,2023-05-06,1,1048
34059,3,2023-06-02,2023-08-31,2,931
34077,1,2022-03-23,2022-03-23,1,1457
34240,77,2020-08-03,2025-11-18,4,121
34447,2,2021-06-29,2021-06-30,1,1723
34483,3,2020-12-28,2021-11-29,2,1571
35009,11,2022-06-10,2023-07-28,2,965
35026,88,2021-02-12,2025-12-19,5,90
35044,9,2021-10-08,2022-05-20,3,1399
35751,7,2021-07-02,2024-07-30,2,597
36179,55,2022-02-14,2024-12-10,1,464
36284,23,2021-03-25,2022-09-16,3,1280
36578,1,2021-07-01,2021-07-01,1,1722
36644,3,2023-02-17,2023-05-29,2,1025
36792,1,2022-04-12,2022-04-12,1,1437
36854,4,2024-07-16,2025-07-01,3,261
36900,2,2022-12-12,2025-06-17,2,275
37170,1,2025-06-24,2025-06-24,1,268
37291,1,2021-11-22,2021-11-22,1,1578
37294,19,2023-02-21,2025-10-30,1,140
37513,1,2022-06-20,2022-06-20,1,1368
42114,1,2024-02-09,2024-02-09,1,769
42146,2,2022-07-01,2022-12-29,1,1176
44141,8,2022-05-27,2022-08-26,1,1301
44678,1,2023-12-16,2023-12-16,1,824
