venue_id,venue_name,venue_address,latitude,longitude,forecast_available,day_int,day_text,day_mean,day_max,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
ven_415578655435645668734a5249525f32736265307834764a496843,Pharmacie Khemiri Lassaad,3 rue 10236 Cité Avicenne 2066 Tunisia,36.7608942,10.1865762,TRUE,6,Sunday,59,96,0,0,40,45,60,65,55,50,45,45,50,70,85,95,0,0,0,0,0,0,0,0,0,0
ven_4177576d42596e4b325f685249525f306b5a2d333637774a496843,Central Pharmacy of Tunisia,"El Menzah, Tunis 1004, Tunisia",36.8334663,10.1809281,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven_417a764179415550686f6d5249525f7a7757394b565f424a496843,Pharmacie de jour,"Q4M5+HPH, Tunis, Tunisia",36.7839438,10.1093589,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven_456a61765a6134594b41455249525f30344262695652474a496843,Pharmacie Memmi Bellevue,"84 Ave de Bellevue, Tunis 1009, Tunisia",36.7756124,10.1881268,TRUE,0,Monday,39,58,0,0,25,25,25,35,30,40,45,45,45,60,50,45,0,0,0,0,0,0,0,0,0,0
ven_456a61765a6134594b41455249525f30344262695652474a496843,Pharmacie Memmi Bellevue,"84 Ave de Bellevue, Tunis 1009, Tunisia",36.7756124,10.1881268,TRUE,1,Tuesday,43,70,0,0,15,15,35,40,70,70,70,65,40,35,25,30,0,0,0,0,0,0,0,0,0,0
ven_456a61765a6134594b41455249525f30344262695652474a496843,Pharmacie Memmi Bellevue,"84 Ave de Bellevue, Tunis 1009, Tunisia",36.7756124,10.1881268,TRUE,2,Wednesday,43,79,0,0,30,40,35,30,25,25,25,45,60,80,65,60,0,0,0,0,0,0,0,0,0,0
ven_456a61765a6134594b41455249525f30344262695652474a496843,Pharmacie Memmi Bellevue,"84 Ave de Bellevue, Tunis 1009, Tunisia",36.7756124,10.1881268,TRUE,3,Thursday,55,100,0,0,30,30,35,45,40,40,45,55,75,100,95,65,0,0,0,0,0,0,0,0,0,0
ven_456a61765a6134594b41455249525f30344262695652474a496843,Pharmacie Memmi Bellevue,"84 Ave de Bellevue, Tunis 1009, Tunisia",36.7756124,10.1881268,TRUE,4,Friday,40,75,0,0,25,15,20,20,20,30,50,65,75,65,45,50,0,0,0,0,0,0,0,0,0,0
ven_456a61765a6134594b41455249525f30344262695652474a496843,Pharmacie Memmi Bellevue,"84 Ave de Bellevue, Tunis 1009, Tunisia",36.7756124,10.1881268,TRUE,5,Saturday,45,50,0,0,40,45,50,50,40,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ven_456a61765a6134594b41455249525f30344262695652474a496843,Pharmacie Memmi Bellevue,"84 Ave de Bellevue, Tunis 1009, Tunisia",36.7756124,10.1881268,TRUE,6,Sunday,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ven_4570736d7045625255366d5249525f306f6575694177704a496843,صيدلية غربال الأزرق,R5PV+GF5 Tunis Tunisia,36.8362671,10.1937208,TRUE,0,Monday,54,100,0,0,25,30,45,80,100,100,70,60,50,40,30,25,0,0,0,0,0,0,0,0,0,0
ven_4570736d7045625255366d5249525f306f6575694177704a496843,صيدلية غربال الأزرق,R5PV+GF5 Tunis Tunisia,36.8362671,10.1937208,TRUE,1,Tuesday,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ven_4570736d7045625255366d5249525f306f6575694177704a496843,صيدلية غربال الأزرق,R5PV+GF5 Tunis Tunisia,36.8362671,10.1937208,TRUE,2,Wednesday,54,79,0,0,10,15,30,55,75,80,65,75,70,65,60,45,0,0,0,0,0,0,0,0,0,0
ven_4570736d7045625255366d5249525f306f6575694177704a496843,صيدلية غربال الأزرق,R5PV+GF5 Tunis Tunisia,36.8362671,10.1937208,TRUE,3,Thursday,55,76,0,0,25,35,45,75,75,60,50,45,65,75,65,45,0,0,0,0,0,0,0,0,0,0
ven_4570736d7045625255366d5249525f306f6575694177704a496843,صيدلية غربال الأزرق,R5PV+GF5 Tunis Tunisia,36.8362671,10.1937208,TRUE,4,Friday,44,67,0,0,20,25,15,30,50,65,65,60,55,50,45,45,0,0,0,0,0,0,0,0,0,0
ven_4570736d7045625255366d5249525f306f6575694177704a496843,صيدلية غربال الأزرق,R5PV+GF5 Tunis Tunisia,36.8362671,10.1937208,TRUE,5,Saturday,30,50,0,0,25,25,30,40,50,40,35,25,15,20,25,30,0,0,0,0,0,0,0,0,0,0
ven_4570736d7045625255366d5249525f306f6575694177704a496843,صيدلية غربال الأزرق,R5PV+GF5 Tunis Tunisia,36.8362671,10.1937208,TRUE,6,Sunday,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ven_45726141776f46346f413252496834317955347142784e4a496843,Pharmacie Miled Bassem,"18 Rte de La Goulette, Tunis 2026, Tunisia",36.8691872,10.34327,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven_45796d544b6c587130495a5249525f315555787a3865584a496843,Pharmacie Chaouch - Tunis,"79 Av. Hédi Chaker, Tunis 1002, Tunisia",36.8165964,10.1807976,TRUE,0,Monday,66,95,0,0,30,40,45,50,65,80,80,85,80,95,80,70,0,0,0,0,0,0,0,0,0,0
ven_45796d544b6c587130495a5249525f315555787a3865584a496843,Pharmacie Chaouch - Tunis,"79 Av. Hédi Chaker, Tunis 1002, Tunisia",36.8165964,10.1807976,TRUE,1,Tuesday,49,86,0,0,25,45,70,85,80,65,45,40,30,25,25,40,0,0,0,0,0,0,0,0,0,0
ven_45796d544b6c587130495a5249525f315555787a3865584a496843,Pharmacie Chaouch - Tunis,"79 Av. Hédi Chaker, Tunis 1002, Tunisia",36.8165964,10.1807976,TRUE,2,Wednesday,51,73,0,0,35,40,35,45,50,75,70,65,50,50,40,35,0,0,0,0,0,0,0,0,0,0
ven_45796d544b6c587130495a5249525f315555787a3865584a496843,Pharmacie Chaouch - Tunis,"79 Av. Hédi Chaker, Tunis 1002, Tunisia",36.8165964,10.1807976,TRUE,3,Thursday,65,100,0,0,30,45,65,85,100,80,80,60,60,45,65,75,0,0,0,0,0,0,0,0,0,0
ven_45796d544b6c587130495a5249525f315555787a3865584a496843,Pharmacie Chaouch - Tunis,"79 Av. Hédi Chaker, Tunis 1002, Tunisia",36.8165964,10.1807976,TRUE,4,Friday,48,65,0,0,40,30,35,40,45,65,65,45,45,55,65,65,0,0,0,0,0,0,0,0,0,0
ven_45796d544b6c587130495a5249525f315555787a3865584a496843,Pharmacie Chaouch - Tunis,"79 Av. Hédi Chaker, Tunis 1002, Tunisia",36.8165964,10.1807976,TRUE,5,Saturday,53,60,0,0,45,60,55,55,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ven_45796d544b6c587130495a5249525f315555787a3865584a496843,Pharmacie Chaouch - Tunis,"79 Av. Hédi Chaker, Tunis 1002, Tunisia",36.8165964,10.1807976,TRUE,6,Sunday,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ven_4d37736b736c45466d75685249525f326f774f4c2d34554a496843,Pharmacie,"Q69R+3W2, Mégrine, Tunisia",36.7676498,10.2422702,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven_59356656543631477766705249525f7a3434364e7253544a496843,Pharmacie Jarraya,"103 Bd du 9 Avril 1938, Tunis 1006, Tunisia",36.804157,10.163195,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven_63476c35775a716659716a5249525f3049334f494535614a496843,Pharmacie Nada Soussou,"9 Rue d'Alger, Tunis 1000, Tunisia",36.800496,10.1795993,TRUE,0,Monday,59,100,0,0,60,95,100,75,45,35,45,35,45,45,70,60,0,0,0,0,0,0,0,0,0,0
ven_63476c35775a716659716a5249525f3049334f494535614a496843,Pharmacie Nada Soussou,"9 Rue d'Alger, Tunis 1000, Tunisia",36.800496,10.1795993,TRUE,1,Tuesday,60,77,0,0,25,40,50,65,70,70,75,65,55,65,65,55,0,0,0,0,0,0,0,0,0,0
ven_63476c35775a716659716a5249525f3049334f494535614a496843,Pharmacie Nada Soussou,"9 Rue d'Alger, Tunis 1000, Tunisia",36.800496,10.1795993,TRUE,2,Wednesday,51,94,0,0,20,40,35,45,40,65,65,95,60,55,45,50,0,0,0,0,0,0,0,0,0,0
ven_63476c35775a716659716a5249525f3049334f494535614a496843,Pharmacie Nada Soussou,"9 Rue d'Alger, Tunis 1000, Tunisia",36.800496,10.1795993,TRUE,3,Thursday,59,83,0,0,40,25,40,55,75,85,75,75,70,55,50,50,0,0,0,0,0,0,0,0,0,0
ven_63476c35775a716659716a5249525f3049334f494535614a496843,Pharmacie Nada Soussou,"9 Rue d'Alger, Tunis 1000, Tunisia",36.800496,10.1795993,TRUE,4,Friday,60,94,0,0,50,65,70,95,75,70,50,55,45,50,25,20,0,0,0,0,0,0,0,0,0,0
ven_63476c35775a716659716a5249525f3049334f494535614a496843,Pharmacie Nada Soussou,"9 Rue d'Alger, Tunis 1000, Tunisia",36.800496,10.1795993,TRUE,5,Saturday,57,72,0,0,35,50,60,70,65,70,45,45,50,70,60,60,0,0,0,0,0,0,0,0,0,0
ven_63476c35775a716659716a5249525f3049334f494535614a496843,Pharmacie Nada Soussou,"9 Rue d'Alger, Tunis 1000, Tunisia",36.800496,10.1795993,TRUE,6,Sunday,39,72,0,0,40,70,50,50,25,35,35,45,35,35,15,5,0,0,0,0,0,0,0,0,0,0
ven_6361316a4479614742576c5249525f30386849705932394a496843,Pharmacie JALEL ABDALLAH Pharmacie de garde,"Q5HR+33F, Ave de Bellevue, Tunis, Tunisia",36.7776845,10.1901847,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven_6f78533065465a3448665552496834313669682d732d734a496843,Pharmacie Hamdi Abdelhakim,"Avenue Baal Hamoun résidence Essalem, Les, 1090, Tunisia",36.8556122,10.2966252,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven_6f7879424f6e5f3273734c5249525f31556873786662444a496843,Pharmacie Chaabouni Haykel,"11 Rue de Rome, Tunis, Tunisia",36.8011007,10.1782007,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven_735a585f724a5f526474495249525f325152527a4278634a496843,Central Pharmacy of Tunisia,"Q62R+8PQ, Ben Arous, Tunisia",36.7508472,10.2418567,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven_776e6d4e45704e6e53336752496834314756775a7431764a496843,Pharmacie Bousnina,"V75C+J2H, Av. Khaled Ibn El Walid, Tunis 2045, Tunisia",36.8590683,10.2701247,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven_30384949396535615344355249525f33594a50507032334a496843,Jasmins Night Pharmacy,"54 Rue Dr Ali Hjabi, 3, Tunis 2053, Tunisia",36.757539,10.1877159,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven_34385a4872716a354268625249525f50355275614c61684a496843,Pharmacie de nuit Abdennadher Mohamed,"77 Rue Salammbo, Hammam Lif 2055, Tunisia",36.7271847,10.3369628,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven_346b50444f5f51327831485249525f3267546879787a5f4a496843,Pharmacie Chahmi Fatma,"P6RQ+88R, C35, Ben Arous, Tunisia",36.7408669,10.2382786,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven_386b435a31554b3846345f5249525f32346672746a65454a496843,Night Pharmacy,"P6M6+X8X, El Mourouj, Tunisia",36.7349784,10.2108677,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven_386e44595257337166694b5249525f4a526d376b4f7a4d4a496843,Pharmacie de nuit boumhel karabibene,centre commercial les roses 09 cite el saada Boumhel El Bassatine 2097 Tunisia,36.7244744,10.3015752,TRUE,0,Monday,14,74,0,0,0,0,0,0,0,0,0,0,0,0,0,45,70,75,55,25,15,5,5,10,10,20
ven_386e44595257337166694b5249525f4a526d376b4f7a4d4a496843,Pharmacie de nuit boumhel karabibene,centre commercial les roses 09 cite el saada Boumhel El Bassatine 2097 Tunisia,36.7244744,10.3015752,TRUE,1,Tuesday,16,70,0,0,0,0,0,0,0,0,0,0,0,0,0,65,70,70,60,40,30,20,15,10,10,15
ven_386e44595257337166694b5249525f4a526d376b4f7a4d4a496843,Pharmacie de nuit boumhel karabibene,centre commercial les roses 09 cite el saada Boumhel El Bassatine 2097 Tunisia,36.7244744,10.3015752,TRUE,2,Wednesday,12,52,0,0,0,0,0,0,0,0,0,0,0,0,0,30,50,50,50,40,20,10,5,10,5,10
ven_386e44595257337166694b5249525f4a526d376b4f7a4d4a496843,Pharmacie de nuit boumhel karabibene,centre commercial les roses 09 cite el saada Boumhel El Bassatine 2097 Tunisia,36.7244744,10.3015752,TRUE,3,Thursday,16,76,0,0,0,0,0,0,0,0,0,0,0,0,0,50,70,75,60,45,25,15,5,5,15,20
ven_386e44595257337166694b5249525f4a526d376b4f7a4d4a496843,Pharmacie de nuit boumhel karabibene,centre commercial les roses 09 cite el saada Boumhel El Bassatine 2097 Tunisia,36.7244744,10.3015752,TRUE,4,Friday,14,78,0,0,0,0,0,0,0,0,0,0,0,0,0,65,80,60,45,30,15,10,10,10,5,5
ven_386e44595257337166694b5249525f4a526d376b4f7a4d4a496843,Pharmacie de nuit boumhel karabibene,centre commercial les roses 09 cite el saada Boumhel El Bassatine 2097 Tunisia,36.7244744,10.3015752,TRUE,5,Saturday,18,89,0,0,0,0,0,0,0,0,0,0,0,0,0,70,90,80,65,40,25,15,10,10,10,10
ven_386e44595257337166694b5249525f4a526d376b4f7a4d4a496843,Pharmacie de nuit boumhel karabibene,centre commercial les roses 09 cite el saada Boumhel El Bassatine 2097 Tunisia,36.7244744,10.3015752,TRUE,6,Sunday,21,100,15,15,20,0,0,0,0,0,0,0,0,0,0,95,100,75,55,35,20,15,10,15,10,20
ven_41656c3749644a4a534b4e5249525f325558374c6955624a496843,Pharmacie du nuit,Mégrine Tunisia,36.7699737,10.2332015,TRUE,0,Monday,27,94,0,0,0,0,0,0,0,0,0,0,0,0,0,45,60,95,80,80,65,50,35,40,50,40
ven_41656c3749644a4a534b4e5249525f325558374c6955624a496843,Pharmacie du nuit,Mégrine Tunisia,36.7699737,10.2332015,TRUE,1,Tuesday,23,76,0,0,0,0,0,0,0,0,0,0,0,0,0,60,65,65,40,30,30,50,75,70,40,30
ven_41656c3749644a4a534b4e5249525f325558374c6955624a496843,Pharmacie du nuit,Mégrine Tunisia,36.7699737,10.2332015,TRUE,2,Wednesday,21,88,0,0,0,0,0,0,0,0,0,0,0,0,0,60,75,40,30,25,25,25,30,45,90,70
ven_41656c3749644a4a534b4e5249525f325558374c6955624a496843,Pharmacie du nuit,Mégrine Tunisia,36.7699737,10.2332015,TRUE,3,Thursday,27,94,0,0,0,0,0,0,0,0,0,0,0,0,0,95,80,70,35,15,15,50,90,80,60,45
ven_41656c3749644a4a534b4e5249525f325558374c6955624a496843,Pharmacie du nuit,Mégrine Tunisia,36.7699737,10.2332015,TRUE,4,Friday,20,58,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,60,60,50,40,35,45,30,25
ven_41656c3749644a4a534b4e5249525f325558374c6955624a496843,Pharmacie du nuit,Mégrine Tunisia,36.7699737,10.2332015,TRUE,5,Saturday,19,100,0,0,0,0,0,0,0,0,0,0,0,0,0,70,100,70,60,25,10,30,45,45,0,10
ven_41656c3749644a4a534b4e5249525f325558374c6955624a496843,Pharmacie du nuit,Mégrine Tunisia,36.7699737,10.2332015,TRUE,6,Sunday,16,58,25,15,15,0,0,0,0,0,0,0,0,0,0,60,40,30,30,25,30,25,25,5,30,30
ven_417a5970576b794a3238735249525f3341746557782d444a496843,Pharmacie De Nuit Amel Ben Hassine,13 complexe commercial et de loisirs Ben Arous 2013 Tunisia,36.7504514,10.2257058,TRUE,0,Monday,12,45,0,0,0,0,0,0,0,0,0,0,0,0,0,40,45,40,30,15,15,5,5,30,35,40
ven_417a5970576b794a3238735249525f3341746557782d444a496843,Pharmacie De Nuit Amel Ben Hassine,13 complexe commercial et de loisirs Ben Arous 2013 Tunisia,36.7504514,10.2257058,TRUE,1,Tuesday,17,55,0,0,0,0,0,0,0,0,0,0,0,0,0,40,30,15,15,25,45,55,50,45,40,45
ven_417a5970576b794a3238735249525f3341746557782d444a496843,Pharmacie De Nuit Amel Ben Hassine,13 complexe commercial et de loisirs Ben Arous 2013 Tunisia,36.7504514,10.2257058,TRUE,2,Wednesday,16,55,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,35,45,45,45,55,40,40,25,5
ven_417a5970576b794a3238735249525f3341746557782d444a496843,Pharmacie De Nuit Amel Ben Hassine,13 complexe commercial et de loisirs Ben Arous 2013 Tunisia,36.7504514,10.2257058,TRUE,3,Thursday,15,50,0,0,0,0,0,0,0,0,0,0,0,0,0,30,40,50,45,35,20,25,35,30,30,30
ven_417a5970576b794a3238735249525f3341746557782d444a496843,Pharmacie De Nuit Amel Ben Hassine,13 complexe commercial et de loisirs Ben Arous 2013 Tunisia,36.7504514,10.2257058,TRUE,4,Friday,12,40,0,0,0,0,0,0,0,0,0,0,0,0,0,35,40,35,35,25,20,20,15,20,20,35
ven_417a5970576b794a3238735249525f3341746557782d444a496843,Pharmacie De Nuit Amel Ben Hassine,13 complexe commercial et de loisirs Ben Arous 2013 Tunisia,36.7504514,10.2257058,TRUE,5,Saturday,15,60,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,60,60,45,35,25,15,15,25,25
ven_417a5970576b794a3238735249525f3341746557782d444a496843,Pharmacie De Nuit Amel Ben Hassine,13 complexe commercial et de loisirs Ben Arous 2013 Tunisia,36.7504514,10.2257058,TRUE,6,Sunday,22,100,35,40,35,0,0,0,0,0,0,0,0,0,0,50,40,40,25,15,10,25,35,35,50,100
ven_45564d38504742315569365249525f4c744e5f732d39384a496843,Pharmacie de nuit rades,"Immeuble Al Ons, 34 Rue Monji Slim، Radès 2040, Tunisia",36.7734661,10.2842627,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven_456b727464487468684e375249525f33633655345331794a496843,Night pharmacy,"P678+67R, El Mourouj 2074, Tunisia",36.7131104,10.2156476,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven_4d3452482d6b45434979715249525f32345663457554534a496843,Pharmacie El Kateb,"P6XC+738, Rue 1er Juin, Ben Arous, Tunisia",36.7481553,10.2202122,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven_514d575352314f7074654a5249525f37675f594b3266754a496843,Pharmacie de nuit Mohammedia - صيدلية الليل المحمدية,"M5J5+X29, avenue de la liberté, Mohammedia, Tunisia",36.6824125,10.1576094,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven_5168387752334234514e425249525f786b6b584178376c4a496843,Night Pharmcy,"pharmacie de nuit, Fouchana 2082, Tunisia",36.6959235,10.1673163,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven_5574794f2d7438316469525249525f326752552d3432754a496843,Pharmacie Boulahia Hmida,"P7X2+PFJ, Ben Arous, Tunisia",36.7493435,10.2511294,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven_59633137776a6444524d345249525f33417755665239694a496843,Pharmacie mahjoubi najoua,"P6QR+C78, Ben Arous 2096, Tunisia",36.7385534,10.2406868,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven_67384b56427838636462485249525f33306f75784a39344a496843,Pharmacie Mohamed Abdelaziz basti,"P7V2+P9R, Ben Arous, Tunisia",36.744363,10.25086,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven_67456d5734316c6e6c5f665249525f4b315244314978764a496843,Pharmacie de nuit Rades,Q79F+597 Av. De La République Radès Tunisia,36.767909,10.2734098,TRUE,0,Monday,11,40,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,40,35,35,20,20,15,15,15,15
ven_67456d5734316c6e6c5f665249525f4b315244314978764a496843,Pharmacie de nuit Rades,Q79F+597 Av. De La République Radès Tunisia,36.767909,10.2734098,TRUE,1,Tuesday,14,54,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,35,35,25,15,15,15,20,40,35
ven_67456d5734316c6e6c5f665249525f4b315244314978764a496843,Pharmacie de nuit Rades,Q79F+597 Av. De La République Radès Tunisia,36.767909,10.2734098,TRUE,2,Wednesday,19,74,0,0,0,0,0,0,0,0,0,0,0,0,0,70,75,60,40,30,35,30,35,35,20,20
ven_67456d5734316c6e6c5f665249525f4b315244314978764a496843,Pharmacie de nuit Rades,Q79F+597 Av. De La République Radès Tunisia,36.767909,10.2734098,TRUE,3,Thursday,16,74,0,0,0,0,0,0,0,0,0,0,0,0,0,60,75,70,55,35,15,10,10,15,15,20
ven_67456d5734316c6e6c5f665249525f4b315244314978764a496843,Pharmacie de nuit Rades,Q79F+597 Av. De La République Radès Tunisia,36.767909,10.2734098,TRUE,4,Friday,20,94,0,0,0,0,0,0,0,0,0,0,0,0,0,55,95,85,70,40,35,35,30,25,0,10
ven_67456d5734316c6e6c5f665249525f4b315244314978764a496843,Pharmacie de nuit Rades,Q79F+597 Av. De La République Radès Tunisia,36.767909,10.2734098,TRUE,5,Saturday,19,77,0,0,0,0,0,0,0,0,0,0,0,0,0,40,60,70,75,60,35,15,10,5,35,35
ven_67456d5734316c6e6c5f665249525f4b315244314978764a496843,Pharmacie de nuit Rades,Q79F+597 Av. De La République Radès Tunisia,36.767909,10.2734098,TRUE,6,Sunday,19,100,30,10,5,0,0,0,0,0,0,0,0,0,0,65,100,80,50,30,20,15,15,20,5,5
ven_6b30736866416f6475496b5249525f33777a70445962564a496843,Pharmacie de nuit Ben Hamouda,"Residence Jardin, Ben Arous 2063, Tunisia",36.7379675,10.2415164,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven_6f52643742534a446971515249525f3251576557485f374a496843,Pharmacie hafedh benabdallah,"Q64C+V9G, Av. de France, Ben Arous, Tunisia",36.7571795,10.2209525,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven_73567267334c56344c53315249525f4a427156546237344a496843,Night Pharmacy,P8R3+43J Ez Zahra Tunisia,36.7403317,10.3026304,TRUE,0,Monday,21,100,0,0,0,0,0,0,0,0,0,0,0,0,0,65,100,80,65,40,35,20,25,25,20,20
ven_73567267334c56344c53315249525f4a427156546237344a496843,Night Pharmacy,P8R3+43J Ez Zahra Tunisia,36.7403317,10.3026304,TRUE,1,Tuesday,16,45,0,0,0,0,0,0,0,0,0,0,0,0,0,35,45,40,40,40,35,40,30,35,25,15
